"id","pregunta","a","b","c","d","correcta"
"1","¿Cómo se denomina el Título IV de la Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres?","Instituciones de Protección del Derecho a la Igualdad de Mujeres y Hombres.","El Consejo Valenciano de las Mujeres.","Igualdad y Administración Pública.","De la actuación administrativa.","A"
"2","¿Cuántos títulos tiene la Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres, de la Comunidad Valenciana?","Cuatro Títulos mas un Título Preliminar.","Cinco Títulos mas un Título Preliminar.","Cuatro Títulos.","Tres Títulos.","C"
"3","¿Cómo se denomina el Título II de la Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres?","Principios rectores de la acción administrativa.","Igualdad y participación política.","De la violencia contra las mujeres.","De la actuación administrativa.","D"
"4","¿Cuántos artículos tiene la Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres?","31","65","43","51","D"
"5","La Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres de la Comunidad Valenciana, encuentra su fundamento en el Estatuto de Autonomía cuyo artículo 31.26 atribuye a la Generalitat Valenciana competencia exclusiva sobre la:","Violencia de género.","Igualdad entre hombres y mujeres.","Igualdad entre mujeres y hombres.","Promoción de la mujer.","D"
"6","¿Quién informará a las Corts Valencianes de las actuaciones llevadas a cabo para el cumplimiento de la Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres?","El Consell de la Generalitat.","El Consejo Valenciano de la Mujer.","La Conselleria competente en materia de mujer.","El Observatorio de Género.","A"
"7","La Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres, tiene por objeto:","Establecer los principios generales que deben orientar la igualdad entre mujeres y hombres y determinar las acciones básicas que deben ser implementadas.","Establecer la organización administrativa de la igualdad de oportunidades entre mujeres y hombres en la Comunidad Valenciana.","Regular y hacer efectivo el principio de igualdad de mujeres y hombres en la Comunidad Valenciana.","Las tres respuestas son correctas.","D"
"8","No es un principio general de la Ley 9/2003, de 2 de abril, para la Igualdad entre Mujeres y Hombres","Son contrarias al ordenamiento jurídico las actuaciones públicas o los comportamientos privados que sean discriminatorios.","Toda desigualdad es constitutiva de discriminación.","Cuando se disponga una diferencia de trato deben emplearse los medios que resulten proporcionados y adecuados o congruentes con los fines que se persiguen.","Todas las anteriores son correctas según el art. 2 de la norma.","B"
"9","Los proyectos normativos incorporarán un informe de impacto por razón de género que se elaborará:","Por el centro directivo de la administración de la Generalitat Valenciana con competencias en materia de mujeres e igualdad de género.","Por el Observatorio de Género.","Por el departamento o centro directivo que propone el anteproyecto de ley o proyecto de norma, plan o programa.","Por el Consejo Valenciano de la Mujer.","C"
"10","En el ámbito de la Comunidad Valenciana, ¿quién procurará en el nombramiento o designación de personas, para constituir o formar parte de órganos o instituciones, que exista una presencia paritaria de mujeres y hombres?","El Observatorio de Género.","Las Corts Valencianes.","El Consell de la Generalitat.","Son correctas las respuestas B y C.","D"
"11","En el ámbito de la Comunidad Valenciana, ¿Quién adoptará las medidas necesarias para garantizar la oferta de enseñanza no reglada, especialmente para las mujeres de las zonas rurales?","Las Corts Valencianes.","El Consell de la Generalitat.","El Consejo Valenciano de la Mujer.","La Conselleria de educación.","B"
"12","La Ley de Ordenación General del Sistema Educativo sienta los principios para avanzar hacia un sistema coeducativo, entendido como:","El rechazo de toda forma de discriminación.","Modelo de enseñanza basado en la formación en igualdad entre sexos.","La garantía de una orientación académica y profesional no sesgada por el género.","Todas son correctas.","D"
"13","La Generalitat implementa un servicio específico de promoción de la igualdad a través de ..., que entre otras funciones se encarga de informar a empresas y entidades en la elaboración e implementación de planes de igualdad dentro de sus organizaciones laborales, así como de elaborar los correspondientes informes técnicos para la obtención del visado.","el Observatorio de Género","el Consejo Valenciano de la Mujer","la Defensoría de la Igualdad de Géneros","la Red Valenciana de Igualdad","D"
"14","En el ámbito de la Comunitat Valenciana, ¿quién incentivará a las empresas que establezcan planes de igualdad que tengan por objeto corregir las desigualdades de género, incorporen medidas innovadoras para hacer realidad la igualdad en su organización, y proporcionen servicios que faciliten la conciliación de vida familiar y laboral del personal a su servicio?","El Observatorio de Género.","Los poderes públicos.","La Defensoría de la Igualdad de Géneros.","La Administración autonómica.","D"
"15","Las subvenciones electorales de la Generalitat reconocidas por ley se incrementarán en un ... para los escaños obtenidos por mujeres, siempre que dicho incremento resulte compatible con las previsiones de la Ley Electoral Valenciana.","10 por ciento","20 por ciento","2 por ciento","5 por ciento","A"
"16","Según la Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres, el Consell de la Generalitat facilitará el acceso a un empleo a mujeres:","Mayores de 45 años que no hayan desarrollado nunca un trabajo fuera del hogar.","Mayores de 50 años que no hayan desarrollado nunca un trabajo fuera del hogar.","Menores de 45 años que no hayan desarrollado nunca un trabajo fuera del hogar.","Menores de 50 años que no hayan desarrollado nunca un trabajo fuera del hogar.","A"
"17","Señale cuál de los siguientes enunciados es correcto, de conformidad con lo dispuesto en la Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres:","Las empresas u organizaciones participadas mayoritariamente con capital público deberán elaborar un plan de igualdad.","Los proyectos normativos han de incorporar un informe de impacto por razón de género que se elaborará por el centro directivo de la administración de la Generalitat Valenciana con competencias en materia de mujeres e igualdad de género.","El Consell ha de remitir a Les Corts un informe anual en el que preceptivamente se recojan, entre otros datos, los recursos humanos asistenciales y económicos destinados a la protección de las mujeres víctimas de malos tratos por cada una de las entidades locales de la Comunitat Valenciana.","El Observatorio de Publicidad no sexista de la Comunitat Valenciana es un órgano dependiente y adscrito a la Conselleria competente en materia de estadística, al que corresponde impulsar la desagregación de datos por sexos en las estadísticas oficiales.","A"
"18","Según la Ley 9/2003, de 2 de abril, para la Igualdad entre Mujeres y Hombres, en relación con la formación para la igualdad:","No se regula este aspecto en la norma.","Se reconoce la figura de la persona coordinadora de igualdad y convivencia en los centros educativos no universitarios.","Se reconoce la figura de la persona coordinadora de igualdad y convivencia en los centros educativos no universitarios y universitarios.","Es función del claustro de profesores, el diseño de los programas específicos en la materia.","B"
"19","Para procurar la igualdad real de mujeres y hombres en la esfera de las tareas domésticas la ley postula el Plan...","Integral de Corresponsabilidad.","Integral de la Familia e infancia.","Integral de la Corresponsabilidad y la Conciliación familiar.","Integral de Promoción de la Mujer.","B"
"20","¿Qué medios de comunicación de la Comunidad Valenciana deben transmitir en su programación una imagen de las mujeres que se corresponda con la pluralidad de roles y funciones ejercidos por ellas en la sociedad?","Los medios de comunicación de titularidad totalmente privada.","Los medios de comunicación de titularidad pública.","Los medios de comunicación en los que participen o subvencionen las administraciones públicas valencianas.","Son correctas las respuestas B y C.","D"
"21","En el ámbito de la Comunidad Valenciana, ¿Quién adoptará las medidas necesarias para garantizar la ampliación del horario de apertura de todos los centros públicos que impartan educación infantil y educación primaria, con el fin de atender las necesidades de las familias que lo precisen por el horario laboral de la madre y el padre?","El Consell de la Generalitat.","Las Corts Valencianas.","El Presidente de la Generalitat.","Ninguna es correcta.","A"
"22","De conformidad con lo establecido en el art. 42 de la Ley 9/2003, de 2 de abril, para la igualdad entre mujeres y hombres, la Generalitat velará, de manera específica, por el cumplimiento del principio de igualdad...","Y no discriminación en la publicidad en los medios de comunicación social o cualquier otro medio de difusión.","Y generalidad en la publicidad en los medios de comunicación social o cualquier otro medio de difusión.","Y no discriminación en la publicidad en los medios de comunicación privada.","Ninguna respuesta es correcta.","A"
"23","La administración autonómica ampliará la red pública de escuelas infantiles y guarderías laborales en las empresas, o prestaciones económicas equivalentes, en los períodos extraescolares, con el fin de hacer compatible el trabajo con la maternidad y la paternidad a aquellas trabajadoras y trabajadores con descendencia de menos de ... de edad y en período de vacaciones a los mayores de ...","dos años - cinco años","tres años - cinco años","un año - tres años","tres años - tres años","D"
