"id","pregunta","a","b","c","d","correcta"
"369","Cuando no hay persona a quien corresponda la Regencia según las reglas de la Regencia legítima, e intervienen las Cortes Generales para su nombramiento, estamos ante la figura de:","La regencia dativa.","La regencia legítima.","La regencia representativa.","La regencia institucional.","A"
"370","Según la Constitución española, ¿quién es el Jefe del Estado?","El Presidente del Gobierno.","El Rey.","El Pueblo español.","Ninguna de las respuestas anteriores es correcta.","B"
"371","¿Quién tiene la función de arbitrar y moderar el funcionamiento regular de las instituciones?","El Presidente del Gobierno.","El Rey.","El Pueblo español.","Las Cortes Generales.","B"
"372","¿Quién asume la más alta representación del Estado español en las relaciones internacionales?","El Presidente del Gobierno.","Los embajadores españoles en cada país.","El Rey.","Las Cortes Generales.","C"
"373","Según la Constitución española, ¿qué funciones son ejercidas por el Rey?","Las que le atribuyen expresamente la Constitución y las leyes.","Las que le atribuyen las Cortes Generales.","Las que le atribuyen expresamente la Constitución y los estatutos de autonomía.","Las que le atribuyen los poderes públicos.","A"
"374","¿Qué títulos ostenta el Rey de España?","El de Rey de España en exclusiva.","El de Rey de España y los demás inherentes a su persona.","El de Majestad y los demás que corresponden a la Corona.","El de Rey de España y podrá utilizar los demás que corresponden a la Corona.","D"
"375","Indique la afirmación correcta:","La persona del Rey es inviolable y está sujeta a responsabilidad.","La persona del Rey es inviolable y no está sujeta a responsabilidad.","La persona del Rey es inviolable y puede estar sujeta a responsabilidad.","Ninguna de las respuestas anteriores es correcta.","B"
"376","Los actos del Rey estarán siempre refrendados en la forma establecida en el:","Artículo 62.","Artículo 63.","Artículo 64.","Artículo 65.","C"
"377","Los actos del Rey estarán siempre refrendados, salvo lo dispuesto en el:","Artículo 64.","Artículo 65.1.","Artículo 652.","Artículo 66.","C"
"378","De los siguientes actos del Rey, ¿cuál no necesita ser refrendado?","El Rey fija una cantidad global para el pago de los miembros civiles y militares de su Casa.","El Rey nombra y releva libremente a los miembros militares de su Casa.","El Rey nombra y releva libremente a los miembros civiles de su Casa.","El Rey nombra y releva libremente a los miembros civiles y militares de su Casa.","D"
"379","¿En qué título de la Constitución española se regula la Corona?","Título II.","Título III.","Título IV.","Título V.","A"
"380","Según el artículo 56 de la Constitución española, ¿qué representa la persona del Rey?","La unidad y permanencia del Estado.","La unidad de la Nación española.","La monarquía parlamentaria.","La representación del Pueblo español.","A"
"381","Que los actos del Rey en el ejercicio de la Jefatura del Estado tengan que ser siempre refrendados significa que:","Otra persona presta autenticidad a los actos del Rey y se asume por el que refrenda la responsabilidad compartida de dicho acto.","Otra persona presta autenticidad a la firma del Rey.","Otra persona presta autenticidad a los actos del Rey y se asume por el que refrenda la responsabilidad de dicho acto.","Ninguna de las respuestas anteriores es correcta.","C"
"382","Indíquese el order de autoridades del Estado en España:","Rey, Presidente del Gobierno, Presidente del Congreso, Presidente del Tribunal Constitucional y el Presidente del Consejo General del Poder Judicial.","Rey, Presidente del Gobierno, Presidente del Congreso, Presidente del Consejo General del Poder Judicial y el Presidente del Tribunal Constitucional.","Rey, Presidente del Gobierno, Presidente del Senado, Presidente del Congreso y Presidente del Tribunal Constitucional.","Rey, Presidente del Gobierno, Presidente del Congreso, Presidente del Senado y Presidente del Consejo General del Poder Judicial.","B"
"383","¿Cuál es el símbolo de la unidad y permanencia del Estado según la Constitución española?","La Constitución.","Las Cortes Generales.","El Rey.","El Pueblo español.","C"
"384","Los actos del Rey que no sean refrendados:","Pueden convalidarse por las Cortes Generales.","Pueden convalidarse como un decreto ley.","Carecen de validez.","Producen responsabilidad en las personas responsables de su refrendo.","C"
"385","Según el artículo 57 de la Constitución la sucesión en el trono seguirá el orden regular de;","Primogenitura.","Primogenitura y representación.","Representación.","Del orden anterior a los posteriores.","B"
"386","¿Desde cuándo tendrá el Príncipe heredero la dignidad de Príncipe de Asturias?","Desde su nacimiento.","Desde que se produzca el hecho que origine su llamamiento.","Desde su nacimiento o desde que se produzca el hecho que origine el llamamiento.","Desde su juramento de la Constitución.","C"
"387","Extinguidas todas las líneas llamadas en Derecho, ¿quién proveerá a la sucesión en la Corona?","El Congreso de los Diputados.","El Senado.","El Pueblo español en referéndum.","Las Cortes Generales.","D"
"388","Las personas que teniendo derecho a la sucesión quedarán excluidas en la sucesión sí;","Contrajeran matrimonio contra la expresa prohibición del Rey y de las Cortes Generales.","Contrajeran matrimonio contra la expresa prohibición de las Cortes Generales.","Contrajeran matrimonio fuera de España.","Ninguna de las respuestas anteriores es correcta.","A"
"389","Las abdicaciones y renuncias y cualquier duda de hecho O de derecho que ocurra en el orden de sucesión a la Corona se resolverán por;","Ley ordinaria.","Ley orgánica.","Sesión plenaria de las Cortes Generales.","Sesión plenaria del Congreso de los Diputados.","B"
"390","¿Qué dignidad tendrá, según nuestra Constitución, el Príncipe heredero?","De Príncipe de Asturias.","De Príncipe de Asturias y los demás títulos vinculados tradicionalmente al sucesor de la Corona de España.","De heredero al trono.","Ninguna de las respuestas anteriores es correcta.","B"
"391","Señale la respuesta incorrecta respecto a la figura del Rey:","El cargo de Rey es de carácter vitalicio.","El Rey puede cesar en el ejercicio de su cargo por inhabilitación para el ejercicio de su autoridad.","El Rey puede cesar en el ejercicio de su cargo por abdicación.","El Rey adquiere su dignidad de Rey cuando alcanza la mayoría de edad y se presta el correspondiente juramento.","D"
