"id","pregunta","a","b","c","d","correcta"
"66","¿Qué nombre recibe el Título Preliminar de la Constitución de 1978?","De los Derechos y Deberes fundamentales.","De la Reforma Constitucional.","De las Garantías Constitucionales.","Ninguna de las anteriores respuestas es correcta.","D"
"67","Según el artículo 1 de nuestra norma fundamental, 'España se constituye en?","Un Estado democrático y de Derecho.","Un Estado social y democrático de pluralismo político.","Un Estado social y democrático de libertad.","Un Estado social y democrático de Derecho.","D"
"68","¿Cuál de los siguientes valores no se considera un valor superior del ordenamiento jurídico propugnado en la Constitución?","La igualdad.","La fraternidad.","La justicia.","El pluralismo político.","B"
"69","Según la Constitución española la soberanía nacional reside en:","Las Cortes Generales.","El Rey.","El Pueblo español.","Los pueblos y nacionalidades de España.","C"
"70","En virtud de nuestra Carta Magna los poderes del Estado emanan de:","Las Cortes Generales.","El Rey.","El Pueblo español.","Los pueblos y nacionalidades de España.","C"
"71","La Constitución española establece la forma política del Estado español como:","Democracia parlamentaria.","Monarquía parlamentaria.","Monarquía unitaria descentralizada.","Monarquía democrática.","B"
"72","La condición esencial para que exista un estado de Derecho es:","La posibilidad de elecciones libres.","La división de poderes.","La existencia de instituciones democráticas.","La primacía de la Ley.","D"
"73","El derecho a la autonomía de las nacionalidades y regiones viene recogido en la Constitución:","En el artículo 2.","En el artículo 138.","En la Disposición Transitoria $2^{a}$","Las respuestas b y c son correctas.","A"
"74","Según su artículo segundo la Constitución se fundamenta:","En la indisoluble unidad de la Nación española.","En la indisoluble unidad del Pueblo español.","En el estado de Derecho.","En un régimen democrático avanzado de Derecho.","A"
"75","El artículo segundo de la Constitución española reconoce y garantiza:","El derecho a la autonomía de las nacionalidades y regiones de España.","La solidaridad entre las nacionalidades y regiones de España.","El derecho a constituirse en comunidades autónomas las nacionalidades y regiones de España.","Las respuestas a y b son correctas.","D"
"76","Para la Administración Pública, según el artículo 103 de la Constitución, el Derecho es?","Una herramienta.","Un límite.","Un fin.","Un objetivo.","B"
"77","El artículo 2 de la Constitución compatibiliza 'la unidad de España como un derecho destacado a lo largo de su articulado, ¿qué artículo relacionarías con este derecho?","El artículo 25.","El artículo 9.","El artículo 137.","El artículo 159.","C"
"78","Según el artículo tercero de la Constitución española el castellano?","Es la lengua española oficial de España.","Es la lengua española oficial del Estado.","Los españoles tienen el deber de usarlo.","Los españoles tienen el derecho a conocerlo.","B"
"79","Las demás lenguas españolas que no son el castellano Serán:","Oficiales en sus respectivas comunidades autónomas de acuerdo con la Constitución.","Oficiales en sus respectivas comunidades autónomas de acuerdo con la legislación vigente.","Oficiales en sus respectivas comunidades autónomas de acuerdo con sus estatutos.","Oficiales en sus respectivas comunidades autónomas de acuerdo con la normativa de desarrollo.","C"
