"id","pregunta","a","b","c","d","correcta"
"1","Según lo establecido en el artículo 97 de la Constitución Española, El Gobierno ejerce la función:","Legislativo.","Ejecutivo.","Judicial.","Todas son correctas.","B"
"2","Según lo establecido en el artículo 97 de la Constitución Española, Dirige La Administración civil y militar y la defensa del Estado:","El Rey.","El Gobierno.","Las Fuerzas Armadas.","Las Cortes Generales.","B"
"3","Según lo establecido en el artículo 98 de la Constitución Española, ¿con qué norma se regulará el estatuto e incompatibilidades de los miembros del Gobierno según la Constitución Española?:","Mediante una Ley.","Mediante una Ley orgánica.","Mediante un Real Decreto.","Mediante un Acuerdo del Consejo de Ministros.","A"
"4","Según lo establecido en el artículo 98 de la Constitución Española, ¿Cuántos Vicepresidentes deben existir en todo caso en la composición del Gobierno?:","Tres.","Dos.","Ninguno.","Uno.","C"
"5","El esquema básico de la composición del Gobierno será, según el artículo 98 de la Constitución:","El Presidente, el Vicepresidente, los Ministros y los demás miembros que establezca la ley.","El Presidente, los Vicepresidentes en su caso, los Ministros y los demás miembros que establezca la ley.","El Presidente, el Rey, los Vicepresidentes en su caso, los Ministros y los demás miembros que establezca la ley.","El Presidente, los Ministros, y los demás miembros que establezca la ley.","B"
"6","Según lo establecido en los artículos 97 y 98 de la Constitución Española, señale la afirmación correcta:","Dirige la política interior y exterior, la Administración civil, pero no la militar, ni la defensa del Estado.","El estatuto de sus miembros se regulará mediante Ley orgánica.","Sus miembros podrán ejercer otras funciones representativas que las propias del mandato parlamentario.","Sus miembros no podrán ejercer actividad profesional o mercantil alguna.","D"
"7","Según lo establecido en el artículo 99 de la Constitución Española, ¿por quién es propuesto el candidato a la Presidencia de Gobierno?:","El Presidente del Congreso.","El Rey, previa consulta con los representantes elegidos por los grupos políticos con representación parlamentaria.","El Rey, previa consulta con los Portavoces de todos los grupos políticos que concurrieron a las elecciones.","El Presidente del Congreso, previa consulta a la Junta de Portavoces.","B"
"8","Según lo establecido en el artículo 99 de la Constitución Española, ¿quién elige al presidente del Gobierno?:","El Rey.","El Consejo de Ministros.","El Pueblo, mediante referéndum.","El Congreso de los Diputados.","D"
"9","Según lo establecido en el artículo 99 de la Constitución Española, en la elección del Presidente del Gobierno, será necesario que el Congreso de los Diputados otorgue su confianza en una primera votación por:","Por mayoría absoluta de sus miembros.","Por mayoría simple de sus miembros.","Por las dos terceras partes de sus miembros.","Por la totalidad de sus miembros.","A"
"10","Según lo establecido en el artículo 99 de la Constitución Española, si en primera votación para elegir Presidente del Gobierno, no se alcanzase la mayoría requerida, se someterá la misma propuesta a nueva votación:","24 horas después de la anterior, y la confianza se entenderá otorgada si obtuviere la mayoría simple.","48 horas después de la anterior, y la confianza se entenderá otorgada si obtuviere el voto favorable de tres quintas partes de los miembros.","48 horas después de la anterior, y la confianza se entenderá otorgada si obtuviere la mayoría simple.","24 horas después de la anterior, y la confianza se entenderá otorgada si obtuviere el voto favorable de tres quintas partes de los miembros.","C"
"11","Según lo establecido en el artículo 99 de la Constitución Española, ¿se exige como requisito ser Diputado para ser Presidente del Gobierno?:","Si, en todo caso.","No.","Sí, cuando su formación política no tenga la mayoría absoluta en el Congreso.","Sí, cuando a su vez sea miembro de la mesa del Congreso.","A"
"12","Según lo establecido en el artículo 99 de la Constitución Española, si en segunda votación, el candidato a la Presidencia del Gobierno no obtuviese la confianza del Congreso de los Diputados, ¿qué ocurriría?:","El Rey procederá a nombrar Presidente del Gobierno al representante del Grupo Parlamentario con mayor representación en el Congreso de los Diputados.","Se procederá a una tercera votación, entendiéndose otorgada la confianza si obtuviese la mayoría de los votos de los miembros presentes del Congreso de los Diputados.","Se disolverán las Cámaras y se procederá a la convocatoria de nuevas elecciones.","Se tramitarán sucesivas propuestas en la forma prevista en la Constitución Española.","D"
"13","Según lo establecido en el artículo 99 de la Constitución Española, ¿qué norma se utiliza para nombrar al Presidente del Gobierno?:","Ley.","Real Decreto.","Acuerdo del Rey.","Orden.","B"
"14","Según lo establecido en el artículo 99 de la Constitución Española, ¿en qué plazo han de disolverse las Cámaras en el caso de que ningún candidato haya obtenido la confianza sufriente para ser investido Presidente del Gobierno?:","1mes.","3 meses.","2 meses.","4 meses.","C"
"15","Según lo establecido en el artículo 99 de la Constitución Española, ¿Quién decreta la disolución de las Cortes en el supuesto de que ningún candidato haya obtenido la confianza sufriente para ser investido Presidente del Gobierno?:","El Presidente del Congreso.","El Presidente del Senado.","El Rey.","El Presidente del Gobierno en funciones.","C"
"16","Según lo establecido en el artículo 99 de la Constitución Española, ¿quién refrenda la disolución de las Cámaras, por transcurso de dos meses desde la primera votación de investidura, sin obtención de la confianza por los candidatos?:","El Presidente del Congreso.","El Ministro respectivo.","Presidente del Gobierno.","El Rey.","A"
"17","Según lo establecido en el artículo 100 de la Constitución Española, ¿quién nombra a los ministros?:","El Rey.","El Presidente del Congreso.","Las Cortes Generales.","Presidente del Gobierno.","D"
"18","Según lo establecido en el artículo 101 de la Constitución Española, ¿en cuál de estos supuestos no se produce el cese del gobierno?:","Por dimisión de su Presidente.","Por fallecimiento de su Presidente.","Por la convocatoria de elecciones generales.","Por pérdida de la cuestión de confianza.","C"
