"id","pregunta","a","b","c","d","correcta"
"177","El Estatuto de Autonomía de la Comunitat Valenciana fue promulgado por:","Ley 4/1982","Real Decreto-Ley 5/1982","Ley Orgánica 5/1982","Ley Orgánica 4/1981","C"
"178","¿Cuántos Títulos tiene el Estatuto de Autonomía de la Comunidad Valenciana?:","6","8","10","12","C"
"179","¿Cuántas Disposiciones Adicionales tiene el Estatuto de Autonomía de la Comunidad Valenciana?:","3","4","5","6","B"
"180","El Estatuto de Autonomía de la Comunidad Valenciana tiene:","Una Disposición Derogatoria y una Final","Dos Disposiciones Derogatorias y una Final","Una Disposición Derogatoria y dos Finales","Dos Disposiciones Derogatorias y dos Finales","A"
"181","La Comunitat Valenciana no tiene como objetivo:","Instaurar la democracia","La consecución del autogobierno en los términos del Estatuto de Autonomía","Garantizar la participación de todos los ciudadanos en la realización de sus fines","Tiene todos los objetivos anteriores","A"
"182","Gozan de la condición política de valencianos todos los ciudadanos españoles:","Que tengan vecindad administrativa en cualquiera de las provincias de la Comunitat Valenciana","Que tengan o adquieran vecindad administrativa en cualquiera de las provincias de la Comunitat Valenciana","Que adquieran vecindad administrativa en cualquiera de los municipios de la Comunitat Valenciana","Que tengan o adquieran vecindad administrativa en cualquiera de los municipios de la Comunitat Valenciana","D"
"183","Las comunidades de valencianos asentadas fuera de la Comunitat Valenciana, ¿tendrán derecho a solicitar, como tales, el reconocimiento de su valencianidad?","Sí","No","Lo tendrán solamente aquellas comunidades asentadas en territorio nacional","El Estatuto de Autonomía no regula esta cuestión","A"
"184","La Bandera de la Comunitat Valenciana es la tradicional Senyera compuesta por:","Tres barras rosas sobre fondo amarillo","Cuatro barras rojas sobre fondo amarillo","Cinco barras rojas sobre fondo amarillo","Cuatro barras rojas sobre fondo celeste","B"
"185","La sede de la Generalitat será:","El Palacio de Ripalda, en la ciudad de Valencia","El Palacio de este nombre, en la ciudad de Valencia","El Palacio de Cervelló, en la ciudad de Valencia","El Palacio de los Borja, en la ciudad de Valencia","B"
"186","Las instituciones de la Generalitat, ¿podrán establecerse y celebrar reuniones en cualquiera de los municipios de la Comunitat Valenciana?:","Sí, de acuerdo con lo que disponga su Presidente","Sí, de acuerdo con lo que la Ley disponga","No, solamente podrán hacerlo en sus sedes oficiales","Solamente podrán celebrar reuniones protocolarias","B"
"187","La ley establecerá los criterios de aplicación de la lengua propia valenciana:","En la Administración y la empresa","En la Administración y los organismos oficiales","En la Administración, la empresa y la enseñanza","En la Administración y la enseñanza","D"
"188","La institución normativa del idioma valenciano es:","L'Acadèmia Valenciana de la Llengua","La Real Academia de la Lengua","La Academia Autonómica de la Lengua Valenciana","Ninguna de las contestaciones anteriores es correcta","A"
"189","Todos los ciudadanos tienen derecho a que las administraciones públicas de la Generalitat traten sus asuntos:","De modo equitativo","De modo equitativo e imparcial","De modo equitativo e imparcial y en un plazo razonable","De modo equitativo e imparcial y en un plazo razonable y a gozar de servicios públicos de calidad","D"
