"id","pregunta","a","b","c","d","correcta"
"139","Les Corts designarán los Senadores que le correspondan para representar la Comunitat Valenciana de conformidad:","Con la Ley Electoral General Estatal.","Con el Reglamento de Les Corts.","Con la Ley de Designación de Senadores en representación de la Comunidad Autónoma.","Con la Ley Electoral Valenciana.","C"
"140","La Ley Electoral Valenciana precisará, para su aprobación:","2/3 partes de Les Corts.","Mayoría absoluta de Les Corts.","3/5 partes de Les Corts.","2/5 partes de Les Corts.","A"
"141","¿Cuál de las siguientes no es función de Les Corts?","Exigir la responsabilidad política de un Conseller.","Controlar la acción del Consell.","Controlar parlamentariamente a la Administración que esté bajo la autoridad de la Generalitat.","Interponer recursos de inconstitucionalidad.","A"
"142","La iniciativa legislativa de Les Corts será ejercida por:","Los grupos parlamentarios, exclusivamente.","Únicamente por los diputados y diputadas.","Por el Consell; los diputados y diputadas de Les Corts, y los grupos parlamentarios de Les Corts.","Por el Consell exclusivamente.","C"
"143","El Reglamento de Les Corts:","Es una norma de rango inferior a ley.","Es una norma de rango equivalente al Estatuto de Autonomía.","Es una norma administrativa.","Tiene rango de ley.","D"
"144","El aforamiento de un Diputado o Diputada de Les Corts:","Supone la inviolabilidad del mismo.","Se extiende a responsabilidad penal y civil.","Supone la inmunidad del mismo.","Supone que su responsabilidad penal o civil será exigida siempre ante el Tribunal Superior de Justicia de la Comunitat Valenciana.","B"
"145","Las sesiones del Pleno de Les Corts:","Tienen que ser públicas salvo en los supuestos en que la ley permita lo contrario.","Tienen que ser públicas.","Tienen que ser públicas salvo en los supuestos en que el Reglamento de Les Corts permita lo contrario.","Tienen que ser públicas salvo en las materias en que el Estatuto de Autonomía permite lo contrario.","C"
"146","La denominación del Título III del Estatuto de Autonomía es:","La Generalitat","Los órganos de la Generalitat.","El Gobierno de la Generalitat.","Instituciones de la Comunidad Valenciana..","A"
"147","Según el Estatuto de Autonomía, ¿qué número de votos deberá haber obtenido el partido, federación, agrupación de electores o coalición que se hayan pre- sentado a las elecciones para poder ser proclamados diputados electos de Les Corts?","El 5% de los votos de la Comunidad.","El 3% de los votos de su circunscripción electoral.","El número de votos que determine la Ley Electoral Valenciana.","El 5% de los votos de su circunscripción electoral.","C"
"148","El Título III del Estatuto de Autonomía:","No tiene Capítulos.","Tiene 5 Capítulos.","Tiene 3 Capítulos.","Tiene 7 Capítulos.","D"
"149","Las leyes de la Generalitat son promulgadas:","Por el President de la Generalitat.","Por el Presidente de Les Corts.","Por el Rey.","Por el Consell.","A"
"150","Les Corts podrán:","Presentar en la Mesa del Congreso proyectos de ley y nombrar a los diputados en- cargados de defenderlas.","Solicitar al Gobierno del Estado que este realice un proyecto de ley.","Presentar, ante cualquiera de las Cámaras de las Cortes Generales, proyectos de ley y nombrar a los diputados encargados de defenderlas.","Remitir al Gobierno del Estado proyectos de ley.","B"
"151","El Título III del Estatuto de Autonomía comprende los artículos:","25 a 49, inclusive.","20 a 48, inclusive.","24 a 52, inclusive.","31 a 62, inclusive.","B"
"152","La convocatoria de una sesión extraordinaria de Les Corts se realiza por:","El Presidente de Les Corts.","El Consell.","El President de la Generalitat.","La Diputación Permanente de Les Corts.","A"
"153","Los acuerdos de Les Corts:","Se tomarán por mayoría absoluta salvo que el Reglamento de las mismas disponga lo contrario.","Se tomarán siempre por mayoría absoluta o por mayoría simple.","Se tomarán por mayoría simple, salvo que la ley disponga otra cosa.","Se tomarán por mayoría simple, salvo que una disposición expresamente disponga otra cosa.","D"
"154","Los firmantes de una moción de censura que no resulte aprobada:","No pondrán presentar otra en el mismo año.","No podrán votar la siguiente que presente su grupo parlamentario en ese mandato.","No podrán presentar otra en el mismo periodo de sesiones.","No podrán presentar otra en el mismo año.","C"
"155","La proposición a Les Corts de candidato a President de la Generalitat se realizará:","Por los grupos parlamentarios.","Por el Presidente de Les Corts.","Por los partidos políticos con representación en Les Corts.","Por los grupos políticos existentes en Les Corts.","B"
"156","Si la moción de censura presentada es aprobada:","El candidato será nombrado President de la Generalitat.","El candidato se someterá a la votación de investidura.","El candidato solicitará la ratificación por Les Corts.","El candidato disolverá Les Corts, dentro del plazo marcado legalmente, y convocará elecciones.","A"
"157","El plazo para repetir la votación de nombramiento de President de la Generalitat, si en la primera no consigue la mayoría absoluta:","Es el mismo plazo que dispone en el Estatuto para presentar mociones de censura alternativas.","Es de 72 horas.","Es el mismo plazo que dispone el Estatuto de espera antes de votar la moción de censura.","Es de 48 horas.","D"
"158","Para que el Presidente del Consell presente cuestión de confianza:","Se precisa autorización de Les Corts.","Se precisa celebración de reunión y deliberación del Consell.","No se precisa otro requisito que la voluntad libre del Presidente.","Se precisará mayoría simple de Les Corts.","B"
"159","¿Cuál de las siguientes afirmaciones es cierta?","La responsabilidad penal del Presidente del Consell, se exige de la misma forma que la de los Diputados de Les Corts.","Al Presidente del Consell no se le puede exigir responsabilidad civil alguna.","El Presidente del Consell no es aforado.","La responsabilidad penal del Presidente del Consell, se exige de la misma forma que la de a los miembros del Consell.","A"
"160","No elegido por Les Corts el primer candidato a la Presidencia de la Generalitat propuesto.","El Presidente de Les Corts realizara nuevas consultas.","El Presidente de Les Corts las disolverá mediante decreto.","El Presidente de Les Corts podrá proponer otro candidato sin necesidad de realizar nuevas consultas.","Se vera ratificado en su cargo para un nuevo mandato al President de la Generalitat en funciones.","C"
"161","La forma de nombramiento de los miembros del Consell será regulada por:","Disposiciones del President de la Generalitat.","El Reglamento de Les Corts.","Ley de Les Corts.","Normas internas del Consell.","C"
"162","La interposición de un recurso de inconstitucionalidad:","Solo puede realizarlo el Consell.","Lo podrá realizar el Consell y Les Corts.","Únicamente podrá realizarlo Les Corts.","Lo tendrán que realizar conjuntamente el Consell y Les Corts.","B"
"163","Las normas que dicte el Consell:","Deberán ser publicadas en el Diario Oficial De la Generalitat.","Serán publicadas en el Boletín Oficial del Estado según lo que disponga la norma autonómica correspondiente.","Podrán, algunas de ellas, no ser publicadas en el Diario Oficial de la Generalitat.","Se publicarán en el Diario Oficial de la Generalitat y en el Boletín Oficial del Estado.","C"
"164","El President de la Generalitat:","Ostenta la más alta representación del Estado en la Comunitat Valenciana.","No ostenta representatividad alguna del Estado en la Comunitat Valenciana.","Ostenta la representación ordinaria del Estado en la Comunitat Valenciana.","Ostenta la representación administrativa del Estado en la Comunitat Valenciana.","C"
"165","Si el Consell presenta una cuestión de confianza respecto a un proyecto de ley:","La aprobación de la cuestión de confianza supone la aprobación integra del proyecto de Ley","La aprobación de la cuestión de confianza no supone que Les Corts no puedan modificar, por mayoría simple, el proyecto de Ley.","Supone, al igual que sucede con las pro- posiciones de Ley, la aprobación integra del proyecto de Ley.","La aprobación de la cuestión de confianza no supone que Les Corts no puedan modificar, por mayoría absoluta, el proyecto de Ley.","A"
"166","La moción de censura.","Precisa para su interposición de una décima parte de los Diputados de Les Corts y para su aprobación mayoría absoluta.","Precisa para su interposición de una quinta parte de los Diputados de Les Corts y para su aprobación mayoría absoluta.","Precisa para su interposición de una décima parte de los Diputados de Les Corts y para su aprobación mayoría simple.","Precisa para su interposición de una quinta parte de los Diputados de Les Corts y para su aprobación mayoría simple.","B"
"167","El Presidente de Les Corts, después de la ronda de consultas, es libre para proponer candidato a la Presidencia de la Generalitat.","Sí, no está sujeto a ninguna norma.","Sí, salvo que el Pleno de Les Corts haya impuesto alguna norma.","Únicamente tendrá que cumplir con lo que disponga a tal efecto el Reglamento de Les Corts.","No, está sujeto a los apoyos que haya manifestado los grupos políticos de Les Corts.","D"
"168","Si hay renuncia por el President de la Generalitat a su cargo:","Se convocarán elecciones.","El Presidente de Les Corts decidirá si convoca elecciones.","El Presidente de Les Corts iniciara ronda de consultas con los grupos políticos de Les Corts.","Sera el nuevo Presidente el que está obligado a convocar elecciones.","C"
"169","¿Cuál de las siguientes afirmaciones respecto a los miembros del Consell es cierta?","El Estatuto de Autonomía limita el número de miembros del Consell a once, incluyendo a su Presidente.","El Estatuto de Autonomía no limita en número de miembros del Consell.","El Estatuto de Autonomía limita el número de miembros del Consell a diez incluyendo su Presidente.","El Estatuto de Autonomía prohíbe que una ley posterior limite el número de miembros del Consell.","B"
"170","La ley que desarrolle el Consell de Justicia de la Comunitat Valenciana:","Deberá ser conforme con lo dispuesto en el Estatuto y con la Ley Orgánica del Poder Judicial, ley estatal.","Deberá ser conforme únicamente con lo dispuesto en la Constitución y en el Estatuto.","Deberá ser conforme con lo dispuesto en la Constitución y en la Ley Orgánica del Poder Judicial, ley autonómica.","Será una ley marco de competencia estatal.","A"
"171","¿Cuál de las siguientes no es función de la Generalitat en materia de administración de Justicia?","Fijar la capitalidad de los órganos judiciales de su territorio.","Participar en la creación de Juzgados en el ámbito de su territorio.","Ordenar los servicios de justicia gratuita.","Crear los tribunales consuetudinarios y tradicionales.","D"
"172","Las facultades de qué órgano, tal como determina la Ley Orgánica del Poder Judicial, ejercerá la Generalitat:","Del Gobierno del Estado.","Ministerio de Justicia.","Tribunal Supremo.","Tribunal Superior de Justicia de la Comunidad Valenciana.","A"
"173","La competencia del Síndic de Greuges se extiende a los derechos y libertades reconocidos:","En el Estatuto de Autonomía exclusivamente.","En el Estatuto de Autonomía y las leyes autonómicas sobre la materia.","En la CE y en el Estatuto de Autonomía.","En el ordenamiento jurídico estatal y autonómico.","C"
"174","El Consell Valencia de Cultura es una institución:","Normativa y asesora, exclusivamente, del Consell.","Consultiva de todas las instituciones públicas de la Comunitat Valenciana.","Normativa y asesora del Consell y de Les Corts.","Consultiva del Consell y de Les Corts.","B"
"175","El Presidente del Tribunal Superior de Justicia de la Comunitat Valenciana:","Será nombrado por el President de la Generalitat a propuesta de Les Corts.","Será nombrado por el Rey a propuesta del Consejo General del Poder Judicial.","Será nombrado por el Rey a propuesta de Les Corts.","Será nombrado por el Consejo General del Poder Judicial a propuesta de la Generalitat.","B"
"176","El Consell Jurídic Consultiu de la Comunitat Valenciana:","Es una institución pública de la Generalitat.","Es una institución externa a la Generalitat.","Es un organismo, de carácter privado, asesor de la Generalitat.","Es un organismo, que puede ser de carácter privado, asesor de la Generalitat.","A"
"177","La legislación concurrente que pueda dictar la Generalitat:","Precisa de autorización previa del Delegado del Gobierno.","Tiene carácter de normas de validez provisional hasta que sean ratificadas por Les Corts.","Seguirá vigente hasta que se dicte la ley estatal que expresamente derogue la autonómica.","Tiene carácter de norma de validez provisional.","D"
"178","La delegación para poder dictar normas con rango de ley:","La realizará Les Corts a favor del Consell.","La realizará el President de la Generalitat a favor de los Consellers.","La realizará Les Corts a favor del President de la Generalitat.","La realizará el Consell a favor de los Consellers.","A"
"179","Las leyes de la Generalitat:","Están sujetas únicamente al control de los órganos jurisdiccionales valencianos.","Están sujetas únicamente al control del Síndic de Greuges.","Están sujetas únicamente al control del Tribunal Constitucional.","Están sujetas al control de los órganos jurisdiccionales y al del Tribunal Constitucional.","C"
"180","Los actos o normas reglamentarias de la Generalitat:","Son controlados únicamente por el Tribunal Constitucional.","Son controlados por Les Corts.","Son controlados por el Consejo de Estado.","Son controlados por los órganos judiciales de la jurisdicción contencioso-administrativa.","D"
"181","La normativa lingüística que dicte L'Acadèmia Valenciana de la Lengua:","Es de obligado cumplimiento por los órganos de la Administración Pública de la Comunitat Valenciana.","Tiene carácter orientativo para las instituciones de la Generalitat.","Es de obligado cumplimiento por todos los órganos e instituciones públicas y privadas con sede en la Comunitat Valenciana.","Tiene carácter orientativo para todos los órganos e instituciones públicas y pri- vadas con sede en la Comunitat Valenciana.","A"
"182","¿Puede la Generalitat convocar oposiciones a Magistrados o Jueces?","No, pero puede solicitar su convocatoria al órgano competente para ello.","Sí.","No, al contrario de las convocatorias para personal funcionario de la Administración de Justicia, que sí es competencia de la Generalitat.","Sí, al igual que las convocatorias para personal funcionario de la Administración de Justicia, que también es competencia de la Generalitat.","A"
"183","La Sindicatura de Comptes:","Efectúa el control externo de la actividad financiera de la Generalitat.","No podrá realizar control sobre los entes locales.","Solo podrá efectuar el control externo de la actividad financiera de la Generalitat y de los entes locales comprendidos en el territorio de la Comunitat Valenciana.","Podrá realizar control externo económico y presupuestario respecto a todos los órganos e instituciones, públicos o privados, comprendidos en el territorio de la Comunitat Valenciana.","A"
"184","El Comité Económico y Social:","Es, a diferencia de L'Acadèmia Valenciana de la Llengua, un órgano consultivo.","Es, como el Consell Valencia de Cultura y el Síndic de Greuges, un órgano consultivo.","Es, a diferencia del Consell Valencia de Cultura, un órgano consultivo.","Es un órgano normativo al igual que L'Acadèmia Valenciana de la Llengua.","A"
"185","El Comité Econòmic i Social realiza sus funciones:","En relación exclusivamente con el Consell.","En relación exclusivamente con el Consell y Les Corts.","En relación con el Consell y, en general, con las instituciones públicas de la Comunitat Valenciana.","En relación con el Consell y, en general, con las instituciones públicas y privadas de la Comunitat Valenciana.","C"
"186","En cuanto a las obras públicas, será competencia exclusiva de la Generalitat:","Cuando estas afecten al interés general del Estado.","Cuando estas afecten a la Comunitat Valenciana y, aunque afecten a otra, esta otra autonomía no tenga que realizar obra alguna.","Aquellas que afecten a la Comunitat Valenciana y no afecten a ninguna otra Comunidad y, a la vez, no sean de interés general del Estado.","Cualquier obra que sea calificada así por el Consell con la ratificación del Gobierno de la Nación.","C"
"187","La ordenación del litoral:","Es competencia exclusiva de la Generalitat.","Es competencia compartida del Estado y de la Generalitat.","Es competencia exclusiva del Estado.","Es competencia compartida del Estado y de la Generalitat, y esta solo podrá ejecutar las normas estatales.","A"
"188","El artículo del Estatuto que enumera las competencias exclusivas de la Generalitat es el:","53.","52.","41.","49.","D"
"189","¿En cuál de estas materias la Generalitat ostenta únicamente la ejecución de la legislación del Estado?","Fondos Europeos y estatal de garantía agraria en la Comunitat Valenciana.","Regulación y administración de la enseñanza.","Creación de centros de protección para grupos necesitados de protección especial.","Casinos.","A"
"190","El Estatuto de Autonomía:","Prohíbe la investigación científica por medio de personas.","Determina que sobre la investigación científica por medio de personas Les Corts dictará la ley oportuna.","Determina que sobre la investigación científica por medio de personas se estará a lo que legisle el Estado.","Permite la investigación científica por medio de personas.","D"
"191","La ejecución de los planes estatales para la reestructuración de sectores industriales en el territorio de la Comunitat Valenciana:","Es competencia de la Generalitat.","Puede ser competencia de la Generalitat si el Estado delega en ella mediante ley orgánica.","Es competencia del Estado.","Es competencia del Estado si bien la Generalitat puede dictar normas complementarias.","A"
"192","La gestión del régimen económico de la Seguridad Social:","Es competencia de la Generalitat.","Es ejercida por la Generalitat dentro de lo dispuesto por la ley marco estatal.","Es competencia exclusiva del Estado.","Es ejercida por la Generalitat dentro de lo dispuesto por una ley de bases.","A"
"193","La Policía Autónoma Valenciana:","Será creada por norma del Consell.","Será regulada de conformidad con la norma estatal.","Sus funciones estarán determinadas únicamente por la ley de creación de la misma que dicten Les Corts.","Sus funciones quedarán determinadas por lo que determine el Consell.","B"
