"id","pregunta","a","b","c","d","correcta"
"782","Señale -la afirmación correcta. A efectos Judiciales, el Estado se organiza territorialmente en:","Comunidades autónomas, provincias y entidades locales.","Comunidades autónomas, provincias y municipios, exclusivamente.","Comunidades autónomas, provincias, municipios y juzgados de primera instancia.","Comunidades autónomas, provincias, partidos y municipios.","D"
"783","Según el artículo 117 de la Constitución española, la justicia emana de;","El Poder Judicial.","El Rey.","El Pueblo español.","Jueces y magistrados integrantes del Poder Judicial.","C"
"784","Según el artículo 117 de la Constitución española, la justicia se administra en nombre de:","El Poder Judicial.","El Rey","El Pueblo español.","Jueces y magistrados integrantes del Poder Judicial.","B"
"785","Según el artículo 117 de la Constitución española, la justicia se administra por:","El Poder Judicial.","El Rey","El Pueblo español.","Jueces y magistrados integrantes del Poder Judicial.","D"
"786","¿Cuál de las siguientes características no define, según la Constitución española, a los magistrados del Poder Judicial?","Solidarios.","Independientes.","Inamovibles.","Responsables.","A"
"787","Los jueces y magistrados no podrán ser suspendidos, trasladados o jubilados, sino por alguna de las causas y con las garantías de:","La Constitución.","La ley.","El ordenamiento jurídico.","El reglamento interno de jueces y magistrados.","B"
"788","El ejercicio de la potestad jurisdiccional en todo tipo de procesos, juzgando y haciendo ejecutar lo juzgado corresponde exclusivamente a:","El Poder Judicial.","El Rey.","Jueces y magistrados integrantes del Poder Judicial.","Juzgados y tribunales determinados por las leyes.","D"
"789","¿Cuál es el principio de la base de la organización y funcionamiento de los tribunales?","El de unidad de acción.","El de personalidad jurídica propia.","El de unidad jurisdiccional.","El de personalidad jurídica solidaria.","C"
"790","La ley regulará el ejercicio de la jurisdicción militar en el ámbito estrictamente castrense y en los supuestos de estado de:","Alarma.","Excepción.","Sitio.","Todas las respuestas anteriores son correctas.","C"
"791","En su artículo 117.6 la Constitución española prohíbe expresamente:","Los Tribunales de excepción.","Los Tribunales de honor.","Los Tribunales militares.","Las respuestas a y b son correctas.","A"
"792","La función jurisdiccional o de administrar justicia es:","Una competencia compartida entre el Estado y las comunidades autónomas.","Una competencia compartida entre el Estado, las comunidades autónomas y las entidades locales.","Una competencia exclusiva del Estado.","Ninguna de las respuestas anteriores es correcta.","C"
"793","Señale, cuál de los siguientes órganos no es un juzgado o tribunal al que se le atribuya la potestad jurisdiccional:","Los juzgados de paz.","Los juzgados de lo mercantil.","Los juzgados rápidos.","Los juzgados de menores.","C"
"794","¿Qué órgano culmina la organización judicial en el territorio de una comunidad autónoma?","Las Audiencias Territoriales.","El Tribunal Supremo.","Las Audiencias Provinciales.","El Tribunal Superior de Justicia.","D"
"795","De los siguientes principios indique el que no es un principio básico constitucional del Poder Judicial:","Origen popular de la justicia.","Dependencia jerárquica.","Unidad jurisdiccional.","Sometimiento pleno a la Ley y al Derecho.","A"
"796","En relación a la organización territorial del Estado a efectos judiciales el Partido:","Es la unidad territorial integrada por uno o más municipios limítrofes, pertenecientes a una misma provincia.","El Partido deberá coincidir con la demarcación provincial.","Es la unidad territorial integrada por varios municipios limítrofes, pertenecientes a una misma provincia.","Ninguna de las respuestas anteriores es correcta.","A"
