"id","pregunta","a","b","c","d","correcta"
"257","El contenido de los actos administrativos se ajustará a lo dispuesto:","En la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas y por el ordenamiento jurídico.","Por el ordenamiento jurídico y será determinado y adecuado a los fines de aquellos.","En la Constitución y por el ordenamiento jurídica.","En la Constitución, por el ordenamiento jurídico y lo que dicten sus normas de desarrollo.","B"
"258","De acuerdo con el artículo 35 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común, serán motivados, con sucinta referencia de hechos y fundamentos de derecho:","Los actos que se separen del criterio seguido en actuaciones precedentes o del dictamen de órganos consultivos.","Los acuerdos de suspensión de actos, cualquiera que sea el motivo de esta, así como la adopción de medidas provisionales.","Los acuerdos de aplicación de la tramitación de urgencia, de ampliación de plazos y de realización de actuaciones complementarias.","Todas las respuestas anteriores son correctas.","D"
"259","Señale la respuesta incorrecta. En función del artículo 35 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo común, serán motivados, con sucinta referencia de hechos y fundamentos de derecho:","Los actos que acepten pruebas propuestas por los interesados.","Los actos que acuerden la terminación del procedimiento por la imposibilidad material de continuarlo por causas sobrevenidas, así como los que acuerden el desistimiento por la Administración en procedimientos iniciados de oficio.","Las propuestas de resolución en los procedimientos de carácter sancionador, así como los actos que resuelvan procedimientos de carácter sancionador o de responsabilidad patrimonial.","Los actos que se dicten en el ejercicio de potestades discrecionales, así como los que deban serlo en virtud de disposición legal a reglamentaria expresa.","A"
"260","¿Qué tipos de actos se motivarán de conformidad con lo que dispongan las normas que regulen sus convocatorias?","Los actos que pongan fin a los procedimientos selectivos.","Los actos de concurrencia competitiva.","Las respuestas a y b son correctas.","Las respuestas a y b son incorrectas.","C"
"261","Serán motivados, con sucinta referencia de hechos y fundamentos de derechos:","Los actos que no limiten derechos subjetivos o intereses legítimos.","Los actos que resuelvan procedimientos de revisión de oficio de disposiciones o actos administrativos, recursos administrativos y procedimientos de arbitraje y los que declaren su inadmisión.","Las respuestas a y b son correctas.","Las respuestas a y b son incorrectas.","B"
"262","A su juicio, ¿qué diferencias hay entre las potestades discrecionales y potestades regladas de la Administración?","Las potestades regladas son aquellas en las que la actividad de la Administración se encuentra precisa y taxativamente establecida en la ley.","Las potestades discrecionales implican Una facultad de opción de la Administración entre dos o más soluciones igualmente válidas según la ley.","Las potestades discrecionales son aquellas potestades de la Administración que no pueden ser revisables ante la jurisdicción contencioso-administrativa ya que se ejecutan en el ejercicio de soberanía.","Las respuestas a y b son correctas.","D"
"263","Según la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas deban ser motivados con sucinta referencia de hechos y fundamentos de derecho:","Las propuestas de resolución en los procedimientos de carácter sancionador.","Los actos que resuelvan procedimientos de carácter sancionador.","Los actos que resuelvan procedimientos de responsabilidad patrimonial.","Todas las respuestas anteriores son correctas.","D"
"264","Complete la siguiente frase con una de las cuatro opciones de respuesta. La relación de actos que deben ser preceptivamente motivados está expuesta en el artículo de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas.","Treinta.","Treinta y cinco.","Cincuenta y tres.","Treinta y seis.","B"
"265","Según el artículo 36 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas, los actos administrativos, a menos que su naturaleza exija otra forma más adecuada de expresión y constancia, se producirán:","Por escrito a través de medios telemáticos.","Par medios telemáticos.","Por medios electrónicos.","Por escrito a través de medios electrónicos.","D"
"266","Señale la respuesta incorrecta. Cuando deba dictarse una serie de actos administrativos de la misma naturaleza, tales como nombramientos, concesiones o licencias:","Podrán refundirse en un único acto.","Se especificarán las personas u otras circunstancias que individualicen los efectos del acto para cada interesado.","La refundición en un solo acto será acordada por el órgano competente.","Deberán refundirse en un único acto.","D"
"267","En los casos en que los órganos ejerzan su competencia de forma verbal, la constancia escrita del acto, cuando sea necesaria:","Se efectuará y firmará por el funcionario que la reciba oralmente expresando en la comunicación del mismo la autoridad de la que procede.","Se efectuará y firmará por el titular del órgano inferior o funcionario que la reciba oralmente, expresando en la comunicación del mismo la autoridad de la que procede.","Se efectuará y firmará por et superior jerárquico del funcionario que la reciba oralmente, expresando en la comunicación del mismo la autoridad de la que procede.","Deberá refundirse en un único acto, acordado por el órgano competente.","B"
"268","En el caso que un órgano administrativo dictase resoluciones de forma verbal se deberá autorizar una relación de las mismas con expresión de su contenido por parte de:","El órgano superior titular de la competencia.","El titular de la competencia.","El órgano inferior titular de la competencia.","Ninguna de las respuestas anteriores es correcta.","B"
"269","Las resoluciones administrativas que vulneren lo establecido en una disposición reglamentaria, así como aquellas que incurran en alguna de las causas recogidas en el artículo 47 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común:","Son nulas.","Son anulables.","Son ilegales.","Son impugnables.","A"
"270","En relación a las disposiciones de carácter general (reglamentos), las resoluciones administrativas de carácter particular:","No podrán vulnerar lo establecido en una disposición de carácter general, aunque aquellas procedan de un órgano de igual o superior jerarquía al que dictó la disposición general.","No podrán vulnerar lo establecido en una disposición de carácter general, salvo que procedan de un órgano de igual o superior jerarquía.","Que vulneren Ío establecido en una disposición de carácter general serán anulables.","Las respuestas a y c son correctas.","A"
"271","La inderogabilidad singular de los actos administrativos en la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas, se encuentre regulada en el:","Artículo 97.","Artículo 38.","Artículo 98.","Artículo 37.","D"
"272","La eficacia de los actos de las Administraciones Públicas quedará demorada cuando:","Así lo exija el contenido del acto.","Esté supeditada a su notificación.","Esté supeditada a su Publicación o aprobación superior.","Las respuestas anteriores son correctas.","D"
"273","Los actos de las Administraciones Públicas, se presumirán válidos y producirán efectos:","Desde la fecha que se indique expresamente en cada acto.","Desde la fecha en que se dicten, salvo que en ellos se disponga otra cosa.","Siempre desde la fecha en que se dicten.","Desde el siguiente a aquel en que se dicten, salvo que en ellos se disponga otra cosa.","B"
"274","En virtud del artículo 39 de la Ley 39/2015 de 1 de octubre, del Procedimiento Administrativo Común, podrá otorgarse eficacia retroactiva a los actos:","Nunca.","Excepcionalmente, cuando se dicte en sustitución de actos anulables.","Cuando se produzca el supuesto de convalidación de actos administrativos.","Excepcionalmente, cuando se dicten en sustitución de actos anulados y cuando produzcan efectos favorables para el interesado, siempre que los supuestos de hecho necesarios ya existieran en la fecha a que se retrotraiga la eficacia del acto y está no lesione derechos o intereses legítimos de otras personas.","D"
"275","Cuando una Administración Pública tenga que dictar, en el ámbito de sus competencias, un acto que necesariamente tenga por base otro dictado por una Administración Pública distinta y aquella entienda que es ilegal:","Podrá requerir a está previamente para que anule a revise el acto o acuerdo Con Ío dispuesto en la jurisdicción contencioso-administrativa.","Si el requerimiento previo no es atendido, podrá interponer recurso contencioso- administrativo.","Las respuestas a y b son correctas.","Las respuestas a y b son incorrectas.","C"
"276","Cuando una Administración Pública tenga que dictar un acto que necesariamente tenga por base otro dictado por una Administración Pública distinta, y aquella entienda que es ilegal, una vez puestas en marcha las opciones legales oportunas, el procedimiento para dictar resolución:","Seguirá adelante.","Quedara suspendido.","Quedara anulado.","Se retrotraerá al principio.","B"
"277","Señale la respuesta incorrecta. Toda notificación deberá contener según el artículo 40 de la Ley 39/2015 de 1 de octubre, del Procedimiento Administrativo Común:","El texto íntegro de la resolución.","La indicación si pone fin a la vía administrativa.","Los antecedentes de la resolución.","La expression de los recursos que procedan.","C"
"278","Las notificaciones que, conteniendo el texto Integro del acto, omitiesen alguno de los demás requisitos previstos en el artículo 40.2 surtirán efecto:","A partir de la fecha en que el interesado realice actuaciones que supongan el conocimiento del contenido y alcance de la resolución o acto objeto de la notificación, o interponga cualquier recurso que proceda.","A partir del día siguiente en que el interesado realice actuaciones que supongan el conocimiento del contenido y alcance de la resolución o acto objeto de la notificación, o interponga cualquier recurso que proceda.","A partir del día siguiente en que el interesado interponga cualquier recurso que proceda.","Ninguna de las respuestas anteriores es correcta.","A"
"279","¿En qué plazo deberá ser cursada una notificación que traslade una resolución, conforme a lo establecido en la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas","Dentro del plazo de diez días a partir de la fecha en que el acto haya sido dictado.","Al día siguiente de ser dictado el acto.","Dentro del plazo de quince días a partir de la fecha en que el acto haya sido dictado.","Dentro del plazo de diez días a partir del día siguiente en que el acto haya sido dictado.","A"
"280","¿Qué deberá contener una notificación para que se entienda cumplida la obligación de notificar dentro del plazo máximo establecido para ello?","El texto íntegro y expresión de los recursos que procedan.","El texto íntegro.","El intento de notificación debidamente acreditado.","Las respuestas by c son correctas.","D"
"281","En la notificación de una resolución uno de los requisitos preceptivos es que debe expresar los recursos que, en su caso, procedan en:","Vía administrativa.","Vía judicial.","Vía extraoficial.","Las respuestas a y b son correctas.","D"
"282","Los preceptos que afectan a las notificaciones de resoluciones y actos están contenidos en la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas en su artículo:","Treinta y cinco.","Cuarenta.","Cuarenta y cinco.","Cincuenta.","B"
