"id","pregunta","a","b","c","d","correcta"
"121","¿Cuántos Títulos tiene el Estatuto de Autonomía de la Comunidad Valenciana?:","6","8","10","12","C"
"122","La Comunitat Valenciana no tiene como objetivo:","Instaurar la democracia","La consecución del autogobierno en los términos del Estatuto de Autonomía","Garantizar la participación de todos los ciudadanos en la realización de sus fines","Tiene todos los objetivos anteriores","A"
"123","Gozan de la condición política de valencianos todos los ciudadanos españoles:","Que tengan vecindad administrativa en cualquiera de las provincias de la Comunitat Valenciana","Que tengan o adquieran vecindad administrativa en cualquiera de las provincias de la Comunitat Valenciana","Que adquieran vecindad administrativa en cualquiera de los municipios de la Comunitat Valenciana","Que tengan o adquieran vecindad administrativa en cualquiera de los municipios de la Comunitat Valenciana","D"
"124","Las comunidades de valencianos asentadas fuera de la Comunitat Valenciana, ¿tendrán derecho a solicitar, como tales, el reconocimiento de su valencianidad?","Sí","No","Lo tendrán solamente aquellas comunidades asentadas en territorio nacional","El Estatuto de Autonomía no regula esta cuestión","A"
"125","La Bandera de la Comunitat Valenciana es la tradicional Senyera compuesta por:","Tres barras rosas sobre fondo amarillo","Cuatro barras rojas sobre fondo amarillo","Cinco barras rojas sobre fondo amarillo","Cuatro barras rojas sobre fondo celeste","B"
"126","La sede de la Generalitat será:","El Palacio de Ripalda, en la ciudad de Valencia","El Palacio de este nombre, en la ciudad de Valencia","El Palacio de Cervelló, en la ciudad de Valencia","El Palacio de los Borja, en la ciudad de Valencia","B"
"127","Las instituciones de la Generalitat, ¿podrán establecerse y celebrar reuniones en cualquiera de los municipios de la Comunitat Valenciana?:","Sí, de acuerdo con lo que disponga su Presidente","Sí, de acuerdo con lo que la Ley disponga","No, solamente podrán hacerlo en sus sedes oficiales","Solamente podrán celebrar reuniones protocolarias","B"
"128","La ley establecerá los criterios de aplicación de la lengua propia valenciana:","En la Administración y la empresa","En la Administración y los organismos oficiales","En la Administración, la empresa y la enseñanza","En la Administración y la enseñanza","D"
"129","La institution normativa del idioma valenciano es:","L'Acadèmia Valenciana de la Llengua","La Real Academia de la Lengua","La Academia Autonómica de la Lengua Valenciana","Ninguna de las contestaciones anteriores es correcta","A"
"130","Todos los ciudadanos tienen derecho a que las administraciones públicas de la Generalitat traten sus asuntos:","De modo equitativo","De modo equitativo e imparcial","De modo equitativo e imparcial y en un plazo razonable","De modo equitativo e imparcial y en un plazo razonable y a gozar de servicios públicos de calidad","D"
"131","Todos los valencianos tienen derecho a participar de forma individual, o colectiva, en:","La vida política y social de la Comunitat Valenciana","La vida política, económica y social de la Comunitat Valenciana","La vida política, económica, cultural y social de la Comunitat Valenciana","La vida política, económica, cultural, artística y social de la Comunitat Valenciana","C"
"132","Mediante una Ley de Les Corts se elaborará:","La Declaración de Derechos Humanos de la Comunitat Valenciana","La Carta de Derechos Sociales de la Comunitat Valenciana","La Carta de Derechos Humanos y Sociales de la Comunitat Valenciana","La Declaración de Derechos Humanos y Sociales de la Comunitat Valenciana","B"
"133","La Generalitat procurará la protección y defensa de la creatividad:","Humanística, científica y técnica","Artística, humanística, científica y técnica","Artística, científica y técnica","Artística, científica, biomédica y técnica","C"
"134","La Generalitat garantizará el uso de la lengua de signos propia de los sordos, que deberá ser objeto de:","Enseñanza, protección y divulgación","Enseñanza, protección y respeto","Enseñanza, divulgación y respeto","Enseñanza y protección","B"
"135","Los poderes públicos velarán por los derechos y necesidades de las personas que hayan sufrido daños causados por:","Catástrofes naturales y epidemias","Catástrofes naturales y sobrevenidas","Catástrofes naturales y fuerza mayor","Catástrofes y epidemias naturales","B"
"136","Toda persona tiene derecho a gozar de una vida y un medio ambiente:","Seguro y sano","Seguro y equilibrado","Seguro y ecológicamente equilibrado","Seguro, sano y ecológicamente equilibrado","D"
"137","La Generalitat promoverá políticas de equilibrio territorial entre:","Las zonas agroganaderas y marítimas","Las zonas terrestres y marítimas","Las zonas litorales y de montaña","Las zonas costeras y las del interior","D"
"138","El conjunto de las instituciones de autogobierno de la Comunitat Valenciana constituye:","El Govern","La Generalitat","El Gobierno Autonómico","El Consell","B"
"139","No forman parte de la Generalitat:","El Consell","Les Corts Valencianes o les Corts","El Govern","El President","C"
"140","No es una institución de la Generalitat valenciana:","La Sindicatura de Comptes","El Comité Econòmic i Social","El Justic de Greuges","El Consell Valenciá de Cultura","C"
"141","Les Corts tienen su sede en:","El Palacio de Carbonell de la ciudad de Alicante","El Palacio de Batlia de la ciudad de Valencia","El Palacio de los Borja de la ciudad de Valencia","El Palacio de Les Cortes de la ciudad de Valencia","C"
"142","No es una función de Les Corts:","Ostentar la más alta representación de la Comunitat Valenciana","Exigir, en su caso, la responsabilidad política del President y del Consell","Elegir al President de la Generalitat","Controlar la acción del Consell","A"
"143","Les Corts estarán constituidas por un número de Diputados y Diputadas no inferior:","91","95","97","99","D"
"144","Los miembros de Les Corts, ¿gozarán de inviolabilidad por las opiniones manifestadas y por los votos emitidos en el ejercicio de sus funciones?:","No, es una prerrogativa exclusiva de los Diputados y Senadores de las Cortes Generales","Sí, mientras ejerzan su mandato","Sí, aun después de haber cesado en su mandato","Sí, hasta el año posterior al cese en su mandato","C"
"145","Según el Estatuto de Autonomía, Les Corts no nombrarán:","A su Presidente","A la Mesa","A una Diputación Permanente","A la Junta de Portavoces","D"
"146","El Reglamento de Les Corts tendrá rango:","De Decreto","De Ley","De Ley Orgánica","De Decreto-Ley","B"
"147","Salvo disposición expresa en sentido contrario, Les Corts adoptan los acuerdos:","Por mayoría simple","Por mayoría absoluta","Por mayoría cualificada","Por mayoría absoluta de los miembros presentes","A"
"148","El President de la Generalitat será elegido por:","El Consell de entre sus miembros","El Consell de entre los ciudadanos valencianos","Les Corts de entre sus miembros","Les Corts de entre los ciudadanos valencianos","C"
"149","La facultad de presentar candidatos a President de la Generalitat corresponde:","A los Partidos Políticos","A los Portavoces de los Partidos Políticos","A los Grupos Parlamentarios","A la Mesa de Les Corts","C"
"150","El President es responsable políticamente:","Ante el pueblo valenciano","Ante Les Corts","Ante el Consell","Ante las Cortes Generales","B"
"151","El Consell responde políticamente de forma solidaria:","Ante Les Corts, careciendo cada miembro de responsabilidad directa por su gestión","Ante Les Corts, sin perjuicio de la responsabilidad directa de cada miembro por su gestión","Ante el propio Consell, careciendo cada miembro de responsabilidad directa por su gestión","Ante el propio Consell, sin perjuicio de la responsabilidad directa de cada miembro por su gestión","B"
"152","El Estatuto de Autonomía de la Comunidad Valenciana crea:","El Comité de Justicia de la Comunitat Valenciana","El Consell de la Justicia de la Comunitat Valenciana","El Síndic de Justicia de la Comunitat Valenciana","La Audiencia Superior de Justicia de la Comunitat Valenciana","B"
"153","El nombramiento de los Magistrados, Jueces y Secretarios del Tribunal Superior de Justicia de la Comunitat Valenciana se efectuará en la forma prevista en:","La Ley Orgánica del Poder Judicial","La Ley que al efecto apruebe Les Corts","La normativa autonómica correspondiente","La Ley de Demarcación y Planta Judicial","A"
"154","El Síndic de Greuges informará a Les Corts del resultado del ejercicio de sus funciones:","Semestralmente","Anualmente","Cuando lo estime oportuno","Cuando le sea requerido","B"
"155","El órgano al que corresponde el control externo económico y presupuestario de la actividad financiera de la Generalitat es:","El Consell de Comptes","La Sindicatura de Comptes","El Tribunal de Comptes","El Comité Econòmic i Social","B"
"156","La institución consultiva y asesora de las instituciones públicas de la Comunitat Valenciana en aquellas materias específicas que afecten a la cultura valenciana es:","L'Acadèmia Valenciana de Cultura","El Consell Valenciá de Cultura","El Comité Valencia de Cultura","Ninguna de las contestaciones anteriores es correcta","B"
"157","L'Acadèmia Valenciana de la Llengua es una institución de la Generalitat:","De carácter público","De carácter privado","Con naturaleza de fundación pública","Con naturaleza de asociación pública","A"
"158","El órgano consultivo del Consell y, en general, de las instituciones públicas de la Comunitat Valenciana, en materias económicas, sociolaborales y de empleo, es:","El Comité Econòmic i Social","La Sindicatura de Comptes","El Consell Econòmic i Social","El Consell Consultiu Econòmic i Social","A"
"159","El Consell Jurídic Consultiu de la Comunitat Valenciana, institución de la Generalitat de carácter público, no es el órgano consultivo supremo en materia jurídica:","Del Consell","De la Administración Autonómica","De las administraciones locales de la Comunitat Valenciana, en todo caso","Es el órgano consultivo supremo en materia jurídica de todos los entes anteriores","C"
"160","Les Corts podrán delegar en el Consell la potestad de dictar normas con rango de Ley, denominadas:","Decretos Legislativos","Decretos-Ley","Legislación delegada","Decretos","A"
