"id","pregunta","a","b","c","d","correcta"
"720","Según el artículo 108 de la Constitución española, el Gobierno en su gestión política responde:","Mancomunadamente.","Individualmente.","Con personalidad jurídica propia.","Solidariamente.","D"
"721","En virtud del artículo 108 de la Constitución española, en su gestión política el Gobierno responde:","Ante el Congreso de los Diputados.","Ante el Senado.","Ante las Cortes Generales.","Ante el Pueblo español.","A"
"722","En función del artículo 109 de nuestra norma fundamental podrán recabar la información y ayuda que precisen del Gobierno y de sus departamentos:","Las Cámaras.","Las Comisiones.","Las Cámaras y las Comisiones.","Las Cámaras, las Comisiones y los partidos políticos.","C"
"723","Según el artículo 109 de la Constitución española las Cámaras podrán recabar la información y ayuda que precisen de cualquiera autoridad del Estado y de las comunidades autónomas, siempre a través de:","Cualquiera de sus miembros.","Sus presidentes.","Sus mesas.","Sus secretarios.","B"
"724","La información que las Cortes Generales pueden recabar de las comunidades autónomas ha de solicitarse de:","El Gobierno.","Las comunidades autónomas.","El Gobierno y sus departamentos, y autoridades del Estado.","El Gobierno y sus departamentos, autoridades del Estado y comunidades autónomas.","B"
"725","¿Cuál de las siguientes afirmaciones en relación con los miembros del Gobierno es correcta?","Tienen acceso a las sesiones de las Cámaras.","Tienen la facultad de hacerse oír en las sesiones de las Cámaras y sus comisiones.","Podrán solicitar que informen ante las Cámaras y sus comisiones funcionarios de sus departamentos.","Todas las respuestas anteriores son correctas.","D"
"726","En función del artículo 110.2 de la Constitución española las Cámaras y sus comisiones podrán recabar la presencia de:","Los Secretarios de Estado.","Los Subsecretarios.","Los Directores generales.","Todas las respuestas anteriores son correctas.","D"
"727","En función del artículo 98 de la Constitución española indique cuál no es un instrumento de control parlamentario individual sobre los miembros del Gobierno:","Preguntas.","Interpelaciones.","Mociones de censura.","Solicitudes de comparecencia.","C"
"728","Una interpelación en el ámbito parlamentario es:","Hacer una pregunta sobre un hecho determinado.","Contestar una pregunta.","Requerir una explicación sobre temas de especial trascendencia política.","Requerir un informe.","C"
"729","El Gobierno y cada uno de sus miembros están sometidos a:","Las interpelaciones que se le formulen en las Cámaras.","Las preguntas que se le formulen en las Cámaras.","Las interpelaciones y preguntas que se le formulen en las Cámaras.","Ninguna de las respuestas anteriores es correcta.","C"
"730","Para los debates donde se les solicita información al Gobierno y a cada uno de sus miembros los Reglamentos de las Cámaras establecerán un tiempo mínimo:","Diario.","Semanal.","Mensual.","Por sesiones.","B"
"731","Toda interpelación al Gobierno podrá dar lugar a que las Cámaras manifiesten suposición a través de:","Una moción.","Una censura.","Una proposición.","Una declaración.","A"
"732","Señale la respuesta incorrecta. Las preguntas a los miembros del Gobierno:","Pueden plantearse por los diputados y senadores.","Pueden plantearse tanto en el Pleno como en las Comisiones.","Solo pueden intervenir el autor de las mismas y el miembro del Gobierno interrogado.","Solo pueden ser contestadas de forma oral.","D"
"733","Señale la respuesta incorrecta. Las interpelaciones a los miembros del Gobierno:","Pueden plantearse por los diputados y senadores.","Solo pueden plantearse en el Pleno de las Cámaras.","Pueden intervenir los autores de las mismas, los interpelados y los representantes de los Grupos Parlamentarios.","No se puede producir un debate generalizado.","D"
"734","El Senado controla la acción política del Gobierno a través de:","Interpelaciones y preguntas.","La moción de censura.","La cuestión de confianza.","Las recusaciones al Gobierno.","A"
"735","¿Quién puede plantear la cuestión de confianza?","El Presidente del Gobierno.","El Congreso de los Diputados.","El Senado.","Cualquier grupo parlamentario.","A"
"736","La cuestión de confianza se podrá plantear ante:","El Presidente del Gobierno.","El Congreso de los Diputados.","El Senado.","Cualquier grupo parlamentario.","B"
"737","Como requisito previo al planteamiento de una cuestión de confianza deberá producirse:","La reprobación del Consejo de Ministros.","Una moción del Consejo de Ministros.","Una deliberación del Consejo de Ministros.","Una solicitud del Consejo de Ministros.","C"
"738","Según la Constitución española la cuestión de confianza podrá versar sobre:","El programa de gobierno.","Una declaración de política general.","Una reforma constitucional.","Las respuestas a y b son correctas.","D"
"739","¿Qué artículo sobre la Constitución española se refiere a la cuestión de confianza?","Ciento doce.","Ciento trece.","Ciento catorce.","Ciento quince.","A"
"740","Ante una cuestión de confianza la misma se entenderá otorgada cuando vote a favor de la misma:","La mayoría simple.","La mayoría absoluta.","La mayoría cualificada.","La mayoría suficiente.","A"
"741","La intervención del Consejo de Ministros en la cuestión de confianza es:","Vinculante.","No vinculante.","Determinante.","Ninguna de las respuestas anteriores es correcta.","B"
"742","El Congreso de los Diputados puede exigir la responsabilidad política del Gobierno mediante:","La reprobación del Consejo de Ministros.","La adopción de la moción de censura.","La adopción de la cuestión de confianza.","Preguntas e interpelaciones.","B"
"743","El Congreso de los Diputados puede adoptar la moción de censura por:","Mayoría simple.","Mayoría absoluta.","Mayoría cualificada.","Mayoría suficiente.","B"
"744","La moción de censura deberá ser propuesta al menos por:","La mayoría simple del Congreso de los Diputados.","La mayoría absoluta del Congreso de los Diputados.","La décima parte del Congreso de los Diputados.","Quince diputados o un grupo parlamentario.","C"
"745","¿Cuál de las siguientes afirmaciones es correcta en relación a la moción de censura?","Deberá aprobarse por la décima parte del Congreso de los Diputados.","Deberá proponerse por la mayoría absoluta de los diputados.","Deberá ser propuesta por la décima parte del Senado.","Habrá de incluir un candidato a la Presidencia del Gobierno.","D"
"746","La moción de censura no podrá ser votada hasta que transcurra el siguiente plazo desde su presentación","Cinco días.","Diez días.","Quince días.","Veinte días.","A"
"747","¿En qué plazo desde la presentación de una moción de censura se pueden presentar mociones de censura alternativas?","En el primer día desde su presentación.","En los dos primeros días desde su presentación.","En los tres primeros días desde su presentación.","En los cuatro primeros días desde su presentación.","B"
"748","Si una moción de censura presentada no fuera aprobada por el Congreso de los Diputados, ¿en qué plazo sus signatarios no podrán presentar otra moción de censura?","En el mismo año.","En la misma legislatura.","En el mismo periodo de sesiones.","Ninguna de las respuestas anteriores es correcta.","C"
"749","La moción de censura prevista en la Constitución española es denominada en el parlamentarismo:","Moción de equilibrio.","Moción destructiva.","Moción constructiva.","Moción negativa.","C"
"750","El candidato a la Presidencia del Gobierno incluido en una moción de censura:","No es necesario que sea diputado.","Es necesario que sea diputado.","Es necesario que sea parlamentario.","Ninguna de las respuestas anteriores es correcta.","A"
"751","Con anterioridad al año 2017, ¿cuántas mociones de censura se han tramitado desde 1978?","En una ocasión, en 1987.","En una ocasión, en 1980.","En dos ocasiones, en 1980 y en 1987.","En tres ocasiones, en 1980, 1987 у 1998.","C"
"752","Una diferencia entre moción de censura y cuestión de confianza es que:","La primera es iniciativa del Gobierno.","La primera es iniciativa del Congreso de los Diputados.","La primera es iniciativa del Presidente del Gobierno.","La primera es iniciativa de las Cortes Generales.","B"
"753","Señale la respuesta incorrecta. Si el Congreso adopta una moción de censura:","El Gobierno presentará su dimisión al Rey.","El Presidente del Gobierno presentará su dimisión al Rey.","El candidato incluido en la moción de censura se entenderá investido de la confianza de la Cámara.","El Rey nombrará Presidente del Gobierno al candidato incluido en la moción de censura.","B"
"754","Se entiende automáticamente investido de la confianza un candidato a Presidente del Gobierno en el supuesto de que prospere:","Una moción de censura.","Cualquier moción presentada en las Cortes Generales contra el Gobierno.","Una cuestión de confianza planteada.","Una interpelación donde se pida dicha investidura.","A"
"755","Si el Congreso de los Diputados adopta una moción de censura el candidato propuesto será nombrado Presidente del Gobierno:","Automáticamente.","Por el Presidente del Congreso.","Por el Rey.","Por las Cortes Generales.","C"
"756","Si una moción de censura es adoptada traerá como consecuencia que el candidato incluido en la misma:","Queda investido de la confianza de la Cámara.","Ha de solicitar la confianza de la Cámara.","Queda designado Presidente.","Queda nombrado Presidente.","A"
"757","En el caso de que se efectúe una propuesta de disolución anticipada de las Cortes, estando, tramitándose una moción de censura:","Esta propuesta de disolución no podrá presentarse.","Se entiende desestimada dicha moción.","Se acuerda la disolución cuando se concluya la moción.","Se tramita la moción por las siguientes Cortes Generales.","A"
"758","¿Quién puede proponer la disolución del Congreso, del Senado o de las Cortes Generales?","El Consejo de Gobierno.","El Presidente del Gobierno.","El Consejo de Ministros.","El Presidente de cualquiera de las Cámaras de las Cortes Generales.","B"
"759","Según el artículo 115 de la Constitución española, ¿qué trámite se debe cumplir para proponer la disolución del Congreso, del Senado o de las Cortes Generales?","Que sea comunicada al Rey.","Que se debata en el Congreso de los Diputados.","Que haya una previa deliberación del Consejo de Ministros.","Ninguna de las respuestas anteriores es correcta.","C"
"760","La disolución del Congreso, del Senado o de las Cortes Generales será decretada por:","El Presidente del Gobierno.","Por el Rey.","Por el Rey, a propuesta del Presidente del Gobierno.","Por el Rey, a propuesta del Gobierno.","B"
"761","En función del artículo 115 en el decreto de disolución del Congreso, del Senado o de las Cortes General, deberá figurar:","La fecha de las elecciones.","La fecha del final de la legislatura.","La fecha del final del periodo de sesiones.","Ninguna de las respuestas anteriores es correcta.","A"
"762","¿Qué tiempo mínimo debe transcurrir entre una disolución de las Cortes Generales y la siguiente?","Seis meses, salvo lo dispuesto en el artículo 100, apartado 5 de la Constitución.","Seis meses.","Un año.","Un año, salvo lo dispuesto en el artículo 99, apartado 5 de la Constitución.","D"
"763","Los estados de alarma, de excepción y de sitio, y las competencias y limitaciones correspondientes, se regulará por:","Ley ordinaria.","Ley orgánica.","Ley de bases.","Por real decreto.","B"
"764","En relación a las circunstancias de declaración del estado de alarma:","Será declarado por el Gobierno.","Será declarado por el Gobierno, dando cuenta al Congreso de los Diputados.","Será declarado por el Congreso de los Diputados, a propuesta exclusiva del Gobierno.","Será declarado por el Gobierno, previa autorización del Congreso de los Diputados.","B"
"765","En relación a las circunstancias de declaración del estado de excepción:","Será declarado por el Gobierno.","Será declarado por el Gobierno, dando cuenta al Congreso de los Diputados.","Será declarado por el Congreso de los Diputados, a propuesta exclusiva del Gobierno.","Será declarado por el Gobierno, previa autorización del Congreso de los Diputados.","D"
"766","En relación a las circunstancias de declaración del estado de sitio:","Será declarado por el Gobierno.","Será declarado por el Gobierno, dando cuenta al Congreso de los Diputados.","Será declarado por el Congreso de los Diputados, a propuesta exclusiva del Gobierno.","Será declarado por el Gobierno, previa autorización del Congreso de los Diputados.","C"
"767","El estado de alarma será declarado mediante:","Ley ordinaria.","Ley orgánica.","Decreto acordado en Consejo de Ministros.","Real decreto del Presidente del Gobierno.","C"
"768","El estado de alarma será declarado por un plazo máximo de:","Cinco días.","Diez días, prorrogables.","Quince días, prorrogables.","Treinta días, prorrogables.","C"
"769","El plazo máximo inicial del estado de alarma puede ser prorrogado por:","El Congreso de los Diputados.","El Senado.","Las Cortes Generales.","El Consejo de Ministros.","A"
"770","Según el artículo 116 de la Constitución española, en la declaración del estado de alarma se determinará como mínimo:","La duración de vigencia de dicho estado.","El ámbito territorial a que se extienden los efectos de la declaración.","Los efectos de dicho estado.","Las condiciones que se imponen durante dicho estado.","B"
"771","Según el artículo 116 de la Constitución española, en la declaración del estado de excepción se determinará como mínimo:","La duración de vigencia de dicho estado.","El ámbito territorial a que se extienden los efectos de la declaración.","Los efectos de dicho estado.","Todas las respuestas anteriores son correctas.","D"
"772","Señale la respuesta incorrecta. Según el artículo 116 de la Constitución española, en la declaración del estado de sitio se determinará como mínimo:","La duración de vigencia de dicho estado.","El ámbito territorial a que se extienden los efectos de la declaración.","Los efectos de dicho estado.","Las condiciones que se imponen durante dicho estado.","C"
